"SiteID","ExperimentID","PondID","DateTime","StrainID","SourceID","BatchID","TreatmentID","time.between.harvests.days","Harvest.","Harvest.Vol..L.","AFDW..g.L.","AFDW..g.","crash","Comments","Duration.days","Depth.cm","Evaporation.Rate.cm.day","pH","Salinity","Temp.C","NO3.mg.L","NO3.PCT.RSD","NH4.mg.L","NH4.PCT.RSD","P.mg.L","P.PCT.RSD","N.P.ratio","Analytical.Sample.ID","Tracking.ID","DW.g.L","DW.RSD","AFDW.g.L","AFDW.RSD","Ash","OD750","OD750.PCT.RSD","OD680","OD680.PCT.RSD","NO3.supplied.g","NO3.utilized.g","NO3.efficiency..","NO3.demand.g.N.g.AFDW","NH4.supplied.g","NH4.utilized.g","NH4.efficiency..","NH4.demand.g.N.g.AFDW","P.supplied.g","P.utilized.g","P.efficiency..","P.demand.g.P.g.AFDW","mg.AFDW_mol.PAR.input","mg.AFDW_kW.GLE.input"
"ASU","APR032014","P1",2014-04-09 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,5.67,23.75,1.1,8.32,NA,11.8,92.57,0.35,NA,NA,11.4,0.02,17.98,"",NA,0.19,2.05,0.18,2.14,4.43,0.62,0.09,NA,NA,NA,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA,0.016,188.543689320388,0.400473474303296
"ASU","APR032014","P1",2014-04-09 17:45:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,6.09,24.5,NA,7.86,NA,25.1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-10 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,6.66,23.5,1.75,8.32,NA,11.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.83,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-10 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,7,23.75,NA,8.2,NA,28.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-11 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,7.67,23.75,NA,7.93,NA,13.2,94.8,4.01,NA,NA,10.37,0.03,20.25,"ASU_SPW9_04112014_1",383,0.28,0.69,0.26,0.73,5.98,0.93,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,201.071281417388,0.432179673385525
"ASU","APR032014","P1",2014-04-11 15:00:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,7.98,24.5,NA,8.24,NA,24.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-14 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,10.67,22,0.93,8.18,NA,12.4,84.93,5.19,NA,NA,8.01,0.02,23.47,"",NA,0.42,2.98,0.4,3.31,5.13,1.49,0.29,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,0.017,194.269145488658,NA
"ASU","APR032014","P1",2014-04-14 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,11,24.5,NA,8.44,NA,23.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-15 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,11.67,23.75,1.12,8.14,NA,11.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1.56,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-15 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,12,24.75,NA,8.43,NA,24.5,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-16 06:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW","1x, 0.11",12.64583333,1,768.75,0.523333333333333,402.3125,"","",12.65,NA,NA,8.29,NA,11.4,72.93,0.35,NA,NA,5.72,0.04,28.23,"ASU_SPW9_04162014_1",389,0.56,6.05,0.52,3.31,6.07,1.74,3.2,NA,NA,0,0,0,0.1,0,0,0,NA,0,0,0,0.019,251.402345741968,NA
"ASU","APR032014","P1",2014-04-16 13:44:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,12.93,NA,NA,NA,NA,NA,14.3,12.43,NA,NA,10.29,0.04,3.08,"",NA,0.13,2.17,0.12,1.03,9.05,0.49,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-16 15:45:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,13.01,24.5,0.25,8.46,NA,26.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-17 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,13.67,23.75,1.14,8.55,NA,12.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.51,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-17 15:14:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,13.99,24.75,NA,7.56,32.6,26.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-18 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,14.67,24,1.1,8.25,33.8,14.8,71.43,4.7,NA,NA,7.41,0.01,21.36,"",NA,0.2,0.72,0.19,1.51,4.19,0.66,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,470.983213429257,NA
"ASU","APR032014","P1",2014-04-18 15:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,15.02,25,NA,8.37,32.7,18.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-20 06:45:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,16.64,23.8,0.74,NA,NA,NA,65.3,8.88,NA,NA,6.27,0.02,23.07,"",NA,0.25,2.31,0.24,1.41,5.28,0.9,0.34,NA,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,0.023,103.893924135616,0.231939448441247
"ASU","APR032014","P1",2014-04-21 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,17.66,24,NA,8.58,31.7,14.7,56.67,7.32,NA,NA,5.19,0.01,24.18,"",NA,0.33,1.17,0.3,0.64,8.44,1.08,0.65,NA,NA,NA,NA,NA,0.144,NA,NA,NA,NA,NA,NA,NA,0.018,239.692872642297,0.529744645373588
"ASU","APR032014","P1",2014-04-21 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,18,24,NA,8.59,31.8,27.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-22 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,18.66,23.75,0.38,8.38,33.7,15.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1.27,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-22 15:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,19.02,23.5,0.69,8.45,31.9,25.6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-23 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW","1x, 0.11",7.010416667,2,768.75,0.363333333333333,279.3125,"","",19.66,23.25,0.39,8.52,36.4,12.9,48.43,8.68,NA,NA,1.38,0.01,77.53,"ASU_SPW9_04232014_1",395,0.4,0.83,0.36,1.59,9.17,1.56,0.81,NA,NA,0,0,0,0.137,0,0,0,NA,0,0,0,0.064,122,NA
"ASU","APR032014","P1",2014-04-23 10:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,19.78,NA,NA,NA,NA,NA,57.23,3.22,NA,NA,6.4,0,19.79,"",NA,0.09,3.7,0.08,2.32,7.99,0.31,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-23 15:45:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,20.01,24.63,NA,8.45,31.7,24.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-24 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,20.67,23.5,1.71,8.59,32.6,11.6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.4,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-24 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,21,24.5,NA,8.42,31.9,24.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-25 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,21.66,24,0.76,8.43,34.8,12.1,63.8,14.64,NA,NA,5.04,0,28.05,"",NA,0.19,1.02,0.17,2,11.25,0.59,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,0.461793323765355
"ASU","APR032014","P1",2014-04-25 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,22,24.5,NA,8.42,31.9,22.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-26 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,22.66,23.5,1.52,NA,NA,NA,44.03,1.73,NA,NA,4.26,0.01,22.91,"",NA,0.23,5.23,0.21,1.79,6.64,0.73,0.91,NA,NA,NA,NA,NA,0.494,NA,NA,NA,NA,NA,NA,NA,0.02,258.064516129032,NA
"ASU","APR032014","P1",2014-04-27 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,23.67,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.87,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-28 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,24.66,24.88,NA,8.43,33.3,11.1,36.4,0.73,NA,NA,2.88,0.01,28.02,"",NA,0.32,5.33,0.29,1.97,8.53,1.09,0.53,NA,NA,NA,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA,0.017,159.00944933203,0.347677400968937
"ASU","APR032014","P1",2014-04-28 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,25,24.75,0.38,8.36,31.5,23.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-29 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,25.67,23.5,1.87,8.59,34.4,11.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1.2,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-29 15:14:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,25.99,26,NA,8.52,30.5,22.6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-30 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW","1x, 0.11",7.010416667,3,768.75,0.37,284.4375,"","",26.67,24.75,1.84,8.48,33,10.8,37.8,12.31,NA,NA,1.45,0.01,57.72,"ASU_SPW9_04302014_1",401,0.41,0.94,0.37,1.56,10,1.31,1.05,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.018,156.815245478036,NA
"ASU","APR032014","P1",2014-04-30 12:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,26.88,NA,NA,NA,NA,NA,63.73,2.95,NA,NA,6.79,0.01,20.77,"",NA,0.12,8.14,0.11,7.69,8.03,0.37,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-30 15:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,27.02,24.75,NA,8.68,29.4,25.1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-01 06:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,27.62,23.75,1.67,8.53,31.7,12.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.53,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-01 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,28,24.75,NA,8.64,27.4,25.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-02 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,28.66,24,1.14,8.59,30.9,13.6,55.97,0.72,NA,NA,5.41,0,22.89,"",NA,0.19,3.46,0.18,1.92,4.36,0.66,2.8,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA,0.02,155.390093881515,NA
"ASU","APR032014","P1",2014-05-02 15:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,29.02,24.5,NA,8.59,30.9,26.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-03 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,29.66,23.5,1.56,8.54,33.8,13.6,71.8,7.85,NA,NA,4.65,0,34.19,"",NA,0.25,1.16,0.24,1.58,2.69,0.79,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,237.046632124352,NA
"ASU","APR032014","P1",2014-05-05 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,31.67,22.25,0.62,8.65,34.8,14,44.3,12.38,NA,NA,3.12,0.04,31.41,"",NA,0.4,1.58,0.36,0.81,10.03,1.22,0.25,NA,NA,NA,NA,NA,0.229,NA,NA,NA,NA,NA,NA,NA,0.013,244.832801209881,NA
"ASU","APR032014","P1",2014-05-05 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,32,24.5,NA,8.12,31.1,25.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-06 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,32.66,23,2.27,8.51,35.1,12.6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1.38,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-06 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,33,24.5,NA,8.71,32.2,21.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-07 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW","1x, 0.11",6.989583333,4,768.75,0.453333333333333,348.5,"","",33.66,24.5,NA,8.45,34.6,10.1,29.2,0.91,NA,NA,1.77,0.1,36.6,"ASU_SPW9_05072014_1",407,0.46,1.45,0.45,1.47,1.43,1.61,0.24,NA,NA,0,0,0,0.168,0,0,0,NA,0,0,0,0.015,204.709809011682,NA
"ASU","APR032014","P1",2014-05-07 09:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,33.77,NA,NA,NA,NA,NA,68.23,6.07,NA,NA,6.27,0,24.08,"",NA,0.1,2.01,0.09,1.82,4.06,0.31,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-07 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,34,24.5,NA,7.54,28.8,21.5,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-08 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,34.66,24,0.76,8.65,30.5,11.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.44,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-08 15:14:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,34.99,24.75,NA,8.7,31.1,24.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-05-09 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,35.66,24,1.12,8.06,33.6,12.8,48.97,10.31,NA,NA,4.83,0.02,22.46,"",NA,0.19,2.06,0.18,1.4,1.98,0.59,0.24,NA,NA,NA,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA,0.016,222.137258650354,0.471451234009405
"ASU","APR032014","P1",2014-05-09 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,36,25,NA,7.75,30.3,24.1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
